City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Pumiao,CN,2021-12-28 17:41:58,22.75,108.4833,46.8,67,100,3.53
280,Diplo,PK,2021-12-28 17:41:59,24.4667,69.584,69.64,38,0,13.18
281,Kloulklubed,PW,2021-12-28 17:41:59,7.0419,134.2556,79.3,81,98,16.13
282,Mpika,ZM,2021-12-28 17:42:00,-11.8343,31.4529,76.71,30,93,5.97
283,Akyab,MM,2021-12-28 17:42:00,20.15,92.9,68.22,64,1,4.99
284,Itacoatiara,BR,2021-12-28 17:42:00,-3.1431,-58.4442,87.06,65,97,4.32
285,Coquimbo,CL,2021-12-28 17:42:01,-29.9533,-71.3436,67.73,72,90,10.36
286,Kemptville,CA,2021-12-28 17:37:09,45.0168,-75.641,36.1,86,95,9.22
287,Dauriya,RU,2021-12-28 17:42:01,49.9333,116.8667,-15.52,100,17,3.49
288,Itarema,BR,2021-12-28 17:42:02,-2.9248,-39.9167,86.79,62,70,18.03
289,Kavieng,PG,2021-12-28 17:42:02,-2.5744,150.7967,81.55,74,66,2.35
290,Iquitos,PE,2021-12-28 17:42:02,-3.7481,-73.2472,87.84,70,40,10.36
291,Dunedin,NZ,2021-12-28 17:42:03,-45.8742,170.5036,53.8,73,100,6.93
292,Kisangani,CD,2021-12-28 17:42:03,0.5167,25.2,71.15,95,94,1.77
